"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",10,7,0.560709,0.668807,0.663675,0.63425,0.700052,0.692919,0.58391
"adhoc6",20,7,0.518939,0.655077,0.659508,0.643373,0.680017,0.650182,0.615541
"adhoc6",30,7,0.618107,0.670326,0.675049,0.666359,0.685488,0.705698,0.648051
"adhoc6",40,7,0.708062,0.778919,0.784081,0.779141,0.790406,0.848522,0.815846
"adhoc6",50,7,0.731485,0.787089,0.789289,0.787118,0.795687,0.843364,0.839729
"adhoc6",60,7,0.751067,0.794076,0.795837,0.7946,0.801996,0.84826,0.850797
"adhoc6",70,7,0.810061,0.792374,0.794068,0.793652,0.797929,0.851259,0.843659
"adhoc6",80,7,0.762715,0.797215,0.799041,0.798639,0.803376,0.849323,0.844141
"adhoc6",90,7,0.806637,0.811769,0.814903,0.81468,0.818451,0.872459,0.862593
"adhoc6",100,7,0.770838,0.81875,0.821907,0.821067,0.824699,0.879419,0.873431
"adhoc6",10,8,0.461703,0.579672,0.564527,0.539736,0.604922,0.608311,0.363592
"adhoc6",20,8,0.529019,0.638983,0.640917,0.626964,0.660085,0.662907,0.597892
"adhoc6",30,8,0.748196,0.728201,0.730502,0.722512,0.743517,0.763881,0.741315
"adhoc6",40,8,0.746565,0.746757,0.748678,0.744658,0.756713,0.783773,0.774895
"adhoc6",50,8,0.723914,0.760555,0.762795,0.759832,0.770411,0.805537,0.796288
"adhoc6",60,8,0.722935,0.818357,0.821224,0.819075,0.825025,0.875348,0.876341
"adhoc6",70,8,0.871667,0.803914,0.807787,0.807437,0.811902,0.86856,0.854537
"adhoc6",80,8,0.747092,0.776032,0.778411,0.778107,0.782095,0.831479,0.810848
"adhoc6",90,8,0.819568,0.812331,0.815246,0.815681,0.819689,0.859306,0.863663
"adhoc6",100,8,0.833842,0.844598,0.846052,0.846164,0.848498,0.908396,0.902269
"adhoc6",10,9,0.285604,0.642447,0.629827,0.604058,0.671862,0.628994,0.586364
"adhoc6",20,9,0.470163,0.678022,0.683228,0.666234,0.702069,0.725167,0.681039
"adhoc6",30,9,0.638457,0.736559,0.735218,0.728555,0.749482,0.771911,0.768619
"adhoc6",40,9,0.764036,0.719414,0.724096,0.71946,0.732835,0.75692,0.739731
"adhoc6",50,9,0.679194,0.784074,0.788671,0.785752,0.795999,0.83504,0.832854
"adhoc6",60,9,0.828752,0.779877,0.784178,0.781028,0.788928,0.841909,0.827255
"adhoc6",70,9,0.845439,0.814816,0.818289,0.817552,0.823258,0.871207,0.864781
"adhoc6",80,9,0.810521,0.810936,0.815732,0.813717,0.819037,0.86873,0.869791
"adhoc6",90,9,0.818048,0.836327,0.840168,0.839395,0.841991,0.895204,0.8984
"adhoc6",100,9,0.81752,0.822439,0.825355,0.824805,0.827881,0.882558,0.875789
"adhoc6",10,10,0.721057,0.71482,0.702714,0.675122,0.744031,0.758101,0.704811
"adhoc6",20,10,0.701525,0.661404,0.666392,0.65083,0.687237,0.669936,0.612668
"adhoc6",30,10,0.579528,0.739961,0.746312,0.7364,0.756716,0.799352,0.77317
"adhoc6",40,10,0.758124,0.719202,0.726864,0.719708,0.735812,0.767015,0.727572
"adhoc6",50,10,0.745967,0.745472,0.750292,0.745898,0.757013,0.794813,0.790185
"adhoc6",60,10,0.718714,0.785238,0.788224,0.786739,0.794149,0.842418,0.845894
"adhoc6",70,10,0.749082,0.778551,0.778537,0.781346,0.784973,0.828283,0.828367
"adhoc6",80,10,0.839577,0.815627,0.816781,0.817023,0.820111,0.867652,0.8717
"adhoc6",90,10,0.819133,0.820384,0.822967,0.823738,0.825187,0.875354,0.87544
"adhoc6",100,10,0.820252,0.800386,0.805291,0.804379,0.808019,0.862087,0.848124
"adhoc6",10,11,0.431543,0.589187,0.578115,0.554586,0.616319,0.629092,0.437109
"adhoc6",20,11,0.640991,0.710549,0.706905,0.698032,0.725434,0.739111,0.695171
"adhoc6",30,11,0.662207,0.681971,0.68546,0.677234,0.698244,0.702175,0.657777
"adhoc6",40,11,0.755346,0.752798,0.756509,0.751448,0.765816,0.795139,0.793143
"adhoc6",50,11,0.667275,0.73394,0.736637,0.732731,0.743768,0.787178,0.756612
"adhoc6",60,11,0.841144,0.805082,0.807892,0.806249,0.812681,0.866048,0.857812
"adhoc6",70,11,0.834794,0.784527,0.787981,0.787172,0.791522,0.838728,0.831712
"adhoc6",80,11,0.815627,0.828226,0.829629,0.829852,0.832822,0.879348,0.879723
"adhoc6",90,11,0.798271,0.818078,0.822273,0.821634,0.824442,0.874984,0.872275
"adhoc6",100,11,0.824315,0.821597,0.824188,0.82493,0.827454,0.868763,0.875933
"adhoc6",10,12,0.457043,0.607836,0.601108,0.572828,0.640467,0.608314,0.50261
"adhoc6",20,12,0.61562,0.713843,0.714165,0.701904,0.733474,0.756877,0.703934
"adhoc6",30,12,0.744559,0.732205,0.73402,0.729867,0.746505,0.776525,0.756936
"adhoc6",40,12,0.652007,0.778026,0.780901,0.776118,0.790136,0.822258,0.830379
"adhoc6",50,12,0.758771,0.757993,0.764557,0.760522,0.770484,0.803876,0.79333
"adhoc6",60,12,0.800913,0.811529,0.814339,0.81225,0.818807,0.872833,0.864446
"adhoc6",70,12,0.742798,0.804911,0.807171,0.806182,0.812197,0.856242,0.862551
"adhoc6",80,12,0.851118,0.810024,0.813643,0.81164,0.816668,0.870027,0.868658
"adhoc6",90,12,0.837926,0.841739,0.844218,0.84327,0.847818,0.896128,0.900635
"adhoc6",100,12,0.820883,0.83415,0.837982,0.837256,0.840763,0.893203,0.895873
"adhoc6",10,13,0.533958,0.637216,0.625062,0.598504,0.667798,0.614319,0.543318
"adhoc6",20,13,0.693491,0.723963,0.726946,0.713877,0.745039,0.742935,0.738185
"adhoc6",30,13,0.794425,0.677823,0.679302,0.672858,0.692549,0.690676,0.636612
"adhoc6",40,13,0.818373,0.769064,0.775702,0.769592,0.784128,0.819541,0.816291
"adhoc6",50,13,0.861077,0.765407,0.76867,0.7657,0.77533,0.817904,0.803439
"adhoc6",60,13,0.834099,0.760492,0.764166,0.762969,0.769606,0.814448,0.796551
"adhoc6",70,13,0.798324,0.806798,0.809789,0.809054,0.815047,0.865267,0.864107
"adhoc6",80,13,0.801975,0.802683,0.805992,0.805427,0.810328,0.861119,0.854116
"adhoc6",90,13,0.864939,0.812538,0.813335,0.815642,0.817074,0.869751,0.864255
"adhoc6",100,13,0.822222,0.814804,0.817268,0.817799,0.818671,0.87832,0.863129
"adhoc6",10,14,0.624902,0.59745,0.594148,0.566636,0.630448,0.577275,0.47108
"adhoc6",20,14,0.729442,0.657188,0.659956,0.644003,0.681552,0.693887,0.605292
"adhoc6",30,14,0.755054,0.689522,0.695837,0.68452,0.70858,0.727844,0.698394
"adhoc6",40,14,0.651671,0.709176,0.713891,0.708613,0.721678,0.774138,0.705484
"adhoc6",50,14,0.759302,0.775291,0.777829,0.77738,0.784414,0.829102,0.818152
"adhoc6",60,14,0.845504,0.770398,0.775521,0.77159,0.780808,0.832731,0.822462
"adhoc6",70,14,0.750784,0.822023,0.824504,0.823881,0.828937,0.880918,0.870101
"adhoc6",80,14,0.77815,0.819724,0.822421,0.821752,0.827007,0.867702,0.882676
"adhoc6",90,14,0.838834,0.82235,0.8251,0.825186,0.828104,0.875094,0.872723
"adhoc6",100,14,0.844542,0.846047,0.848983,0.849051,0.851234,0.895898,0.901283
"adhoc6",10,15,0.584424,0.639376,0.623256,0.597599,0.667023,0.650797,0.534333
"adhoc6",20,15,0.534081,0.651108,0.655984,0.640162,0.673309,0.686936,0.61698
"adhoc6",30,15,0.679295,0.755821,0.759436,0.751054,0.771896,0.818519,0.795128
"adhoc6",40,15,0.755751,0.740764,0.743302,0.738373,0.752176,0.796705,0.764244
"adhoc6",50,15,0.78637,0.770949,0.775734,0.771864,0.782129,0.819095,0.818638
"adhoc6",60,15,0.713033,0.756286,0.758713,0.756591,0.763908,0.809078,0.785769
"adhoc6",70,15,0.819264,0.778161,0.78156,0.77948,0.785803,0.842837,0.821631
"adhoc6",80,15,0.800775,0.786513,0.789966,0.789723,0.793497,0.84737,0.836689
"adhoc6",90,15,0.698343,0.77729,0.780363,0.780502,0.78389,0.83122,0.815352
"adhoc6",100,15,0.780429,0.819343,0.820426,0.821383,0.822449,0.875524,0.87001
